academic_year,time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,total_type,school_phase,estimated_course_starts_by_pupils,total_schools,total_schools_participating,percentage_schools_participating
202324,2023,October,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Total in academic year,All,1110,82,19,23.2
202324,2023,October,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Total in academic year,All,1656,101,50,49.5
202324,2023,October,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Total in academic year,All,2089,142,52,36.6
202324,2023,October,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Total in academic year,All,2310,277,79,28.5
202324,2023,October,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Total in academic year,All,2464,370,110,29.7
202324,2023,October,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Total in academic year,All,1991,158,66,41.8
202324,2023,October,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Total in academic year,All,2394,301,81,26.9
202324,2023,October,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Total in academic year,All,0,1,0,0
202324,2023,October,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Total in academic year,All,387,80,22,27.5
202324,2023,October,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Total in academic year,All,1494,96,36,37.5
202324,2023,October,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Total in academic year,All,2875,266,83,31.2
202324,2023,October,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Total in academic year,All,1307,115,34,29.6
202324,2023,October,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Total in academic year,All,1586,88,28,31.8
202324,2023,October,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Total in academic year,All,442,43,12,27.9
202324,2023,October,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Total in academic year,All,1532,235,66,28.1
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Total in academic year,All,8895,416,161,38.7
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Total in academic year,All,3000,117,42,35.9
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Total in academic year,All,1001,106,26,24.5
202324,2023,October,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Total in academic year,All,1051,99,36,36.4
